"Name","Amount","Casts","Avg Cast","Hits","Avg Hit","Crit %","Uptime %","DPS",""
"Mind Flay","378098$34.32%378.1k","45","8.4k","127","3.0k","27.6%","-","2,394.6",""
"Vampiric Touch","239547$21.74%239.5k","14","17.1k","69","3.5k","43.5%","94.35%","1,517.1",""
"Devouring Plague","159696$14.50%159.7k","9","17.7k","69","2.3k","34.8%","98.38%","1,011.4",""
"Mind Blast","113989$10.35%114.0k","20","5.7k","20","5.7k","25.0%","-","721.9",""
"Shadow Word: Pain","105541$9.58%105.5k","1","105.5k","50","2.1k","42.0%","96.58%","668.4",""
"Improved Devouring Plague","36978$3.36%37.0k","-","-","9","4.1k","44.4%","-","234.2",""
"Shadowfiend","34826$3.16%34.8k","1","34.8k","16","2.2k","-","-","220.6",""
"Melee","34826$3.16%34.8k","16","2.2k","16","2.2k","-","-","220.6",""
"Shadow Word: Death","33049$3.00%33.0k","6","5.5k","6","5.5k","50.0%","-","209.3",""
