"Name","Amount","Casts","Avg Cast","Hits","Avg Hit","Crit %","Uptime %","Miss %","DPS",""
"Instant Poison IX","391299$37.01%391.3k","-","-","250","1.6k","27.6%","-","-","2,974.6",""
"Melee","305308$28.87%305.3k","339","900.6","296","1.0k","53.4%","-","12.68%","2,320.9",""
"Envenom","142830$13.51%142.8k","-","-","17","8.4k","35.3%","-","-","1,085.8",""
"Deadly Poison IX","76816$7.26%76.8k","-","-","42","1.8k","-","96.85%","-","583.9",""
"Mutilate","74243$7.02%74.2k","32","2.3k","32","2.3k","46.9%","-","-","564.4",""
"Mutilate","62228$5.89%62.2k","32","1.9k","32","1.9k","37.5%","-","-","473.1",""
"Saronite Bomb","4670$0.44%4.7k","3","1.6k","3","1.6k","-","-","-","35.5",""
