"Name","Amount","Casts","Avg Cast","Hits","Avg Hit","Crit %","Uptime %","Miss %","DPS",""
"Starfire","117421$34.89%117.4k","13","9.0k","13","9.0k","69.2%","-","-","2,232.3",""
"Wrath","84164$25.01%84.2k","20","4.2k","20","4.2k","30.0%","-","-","1,600.0",""
"Force of Nature","45436$13.50%45.4k","1","45.4k","71","639.9","5.6%","-","16.47%","863.8",""
"Melee","45436$13.50%45.4k","79","575.1","71","639.9","5.6%","-","10.13%","863.8",""
"Starfall","40538$12.05%40.5k","1","40.5k","20","2.0k","25.0%","-","-","770.7",""
"Starfall","25209$7.49%25.2k","1","25.2k","42","600.2","23.8%","-","-","479.2",""
"Insect Swarm","19337$5.75%19.3k","4","4.8k","23","840.7","-","87.65%","-","367.6",""
"Moonfire","4418$1.31%4.4k","1","1.7k   (2.7k)","1   (5)","1.7k   (542.8)","100.0%","28.56%","-","84.0",""
