"Name","Amount","Casts","Avg Cast","Hits","Avg Hit","Crit %","Uptime %","DPS",""
"Mind Flay","297459$38.08%297.5k","44","6.8k","122","2.4k","27.0%","-","1,850.5",""
"Vampiric Touch","144209$18.46%144.2k","13","11.1k","60","2.4k","28.3%","91.98%","897.1",""
"Devouring Plague","117308$15.02%117.3k","8","14.7k","61","1.9k","27.9%","91.91%","729.8",""
"Mind Blast","94531$12.10%94.5k","19","5.0k","19","5.0k","26.3%","-","588.1",""
"Shadow Word: Pain","78575$10.06%78.6k","1","78.6k","50","1.6k","28.0%","95.15%","488.8",""
"Improved Devouring Plague","25847$3.31%25.8k","-","-","8","3.2k","25.0%","-","160.8",""
"Shadowfiend","23292$2.98%23.3k","1","23.3k","15","1.6k","6.7%","-","144.9",""
"Melee","23292$2.98%23.3k","15","1.6k","15","1.6k","6.7%","-","144.9",""
