"Name","Amount","Casts","Avg Cast","Hits","Avg Hit","Crit %","Uptime %","Miss %","DPS",""
"Starfire","569932$47.21%569.9k","48","11.9k","48","11.9k","77.1%","-","-","3,412.1",""
"Wrath","378126$31.33%378.1k","57","6.6k","57","6.6k","45.6%","-","-","2,263.8",""
"Starfall","88261$7.31%88.3k","3","29.4k","30","2.9k","36.7%","-","-","528.4",""
"Insect Swarm","83593$6.93%83.6k","9","9.3k","62","1.3k","-","75.17%","-","500.5",""
"Force of Nature","57120$4.73%57.1k","1","57.1k","83","688.2","14.5%","-","3.49%","342.0",""
"Melee","57120$4.73%57.1k","86","664.2","83","688.2","14.5%","-","3.49%","342.0",""
"Starfall","30074$2.49%30.1k","3","10.0k","30","1.0k","43.3%","-","-","180.1",""
