"Name","Amount","Casts","Avg Cast","Hits","Avg Hit","Crit %","Uptime %","Miss %","DPS",""
"Instant Poison IX","477120$37.59%477.1k","-","-","301","1.6k","29.2%","-","-","3,177.7",""
"Melee","347765$27.40%347.8k","395","880.4","352","988.0","51.7%","-","10.89%","2,316.2",""
"Envenom","173343$13.66%173.3k","-","-","22","7.9k","36.4%","-","-","1,154.5",""
"Mutilate","95118$7.49%95.1k","36","2.6k","36","2.6k","72.2%","-","-","633.5",""
"Deadly Poison IX","85693$6.75%85.7k","-","-","48","1.8k","-","97.76%","-","570.7",""
"Mutilate","83458$6.58%83.5k","36","2.3k","36","2.3k","63.9%","-","-","555.9",""
"Saronite Bomb","3580$0.28%3.6k","2","1.8k","2","1.8k","-","-","-","23.8",""
"Global Thermal Sapper Charge","3131$0.25%3.1k","1","3.1k","1","3.1k","-","-","-","20.9",""
