"Name","Amount","Casts","Avg Cast","Hits","Avg Hit","Crit %","Uptime %","Miss %","DPS",""
"Instant Poison IX","381587$33.00%381.6k","-","-","245","1.6k","28.6%","-","-","2,532.9",""
"Melee","323004$27.94%323.0k","382","845.6","324","996.9","52.2%","-","15.18%","2,144.0",""
"Envenom","151812$13.13%151.8k","-","-","17","8.9k","52.9%","-","-","1,007.7",""
"Mutilate","94036$8.13%94.0k","36","2.6k","36","2.6k","66.7%","-","-","624.2",""
"Deadly Poison IX","89730$7.76%89.7k","-","-","49","1.8k","-","98.14%","-","595.6",""
"Mutilate","83584$7.23%83.6k","36","2.3k","36","2.3k","61.1%","-","-","554.8",""
"Rupture","26403$2.28%26.4k","4","1.9k   (4.7k)","7   (20)","1.1k   (945.8)","42.9%   (35.0%)","35.80%","-","175.3",""
"Saronite Bomb","3107$0.27%3.1k","2","1.6k","2","1.6k","-","-","-","20.6",""
"Global Thermal Sapper Charge","2894$0.25%2.9k","1","2.9k","1","2.9k","-","-","-","19.2",""
