"Name","Amount","Casts","Avg Cast","Hits","Avg Hit","Crit %","Uptime %","Miss %","DPS",""
"Instant Poison IX","410128$36.48%410.1k","-","-","266","1.5k","24.4%","-","-","3,108.5",""
"Melee","308711$27.46%308.7k","357","864.7","308","1.0k","51.0%","-","13.73%","2,339.8",""
"Envenom","184643$16.42%184.6k","-","-","21","8.8k","61.9%","-","-","1,399.5",""
"Mutilate","83226$7.40%83.2k","30","2.8k","30","2.8k","70.0%","-","-","630.8",""
"Deadly Poison IX","73226$6.51%73.2k","-","-","41","1.8k","-","95.10%","-","555.0",""
"Mutilate","59834$5.32%59.8k","30","2.0k","30","2.0k","40.0%","-","-","453.5",""
"Global Thermal Sapper Charge","2883$0.26%2.9k","1","2.9k","1","2.9k","-","-","-","21.9",""
"Saronite Bomb","1519$0.14%1.5k","1","1.5k","1","1.5k","-","-","-","11.5",""
