"Name","Amount","Casts","Avg Cast","Hits","Avg Hit","Crit %","Uptime %","Miss %","DPS",""
"Wrath","381099$42.28%381.1k","74","5.1k","73","5.2k","37.0%","-","-","2,370.8",""
"Starfire","356358$39.53%356.4k","36","9.9k","36","9.9k","69.4%","-","-","2,216.9",""
"Starfall","77348$8.58%77.3k","3","25.8k","30","2.6k","26.7%","-","-","481.2",""
"Force of Nature","51993$5.77%52.0k","1","52.0k","76","684.1","9.2%","-","1.30%","323.5",""
"Melee","51993$5.77%52.0k","77","675.2","76","684.1","9.2%","-","1.30%","323.5",""
"Starfall","28179$3.13%28.2k","3","9.4k","30","939.3","36.7%","-","-","175.3",""
"Moonfire","6462$0.72%6.5k","1","2.4k   (4.1k)","1   (5)","2.4k   (811.4)","100.0%","9.33%","-","40.2",""
