"Name","Amount","Casts","Avg Cast","Hits","Avg Hit","Crit %","Uptime %","Miss %","DPS",""
"Melee","299775$35.75%299.8k","237","1.3k","236","1.3k","50.0%","-","0.42%","1,864.9",""
"Rip","212633$25.36%212.6k","5","42.5k","61","3.5k","44.3%","76.71%","-","1,322.8",""
"Shred","200940$23.97%200.9k","33","6.1k","33","6.1k","45.5%","-","-","1,250.1",""
"Rake","83575$9.97%83.6k","13","900.6   (5.5k)","13   (32)","900.6   (2.2k)","38.5%","63.84%","-","519.9",""
"Ferocious Bite","34638$4.13%34.6k","4","8.7k","4","8.7k","25.0%","-","-","215.5",""
"Mangle (Cat)","6866$0.82%6.9k","1","6.9k","1","6.9k","100.0%","-","-","42.7",""
