"Name","Amount","Casts","Avg Cast","Hits","Avg Hit","Crit %","Uptime %","Miss %","DPS",""
"Instant Poison IX","438720$34.74%438.7k","-","-","289","1.5k","20.8%","-","-","2,718.8",""
"Melee","342731$27.14%342.7k","416","823.9","358","957.3","44.1%","-","13.94%","2,123.9",""
"Envenom","199256$15.78%199.3k","-","-","23","8.7k","47.8%","-","-","1,234.8",""
"Deadly Poison IX","95162$7.54%95.2k","-","-","53","1.8k","-","98.69%","-","589.7",""
"Mutilate","92224$7.30%92.2k","37","2.5k","37","2.5k","56.8%","-","-","571.5",""
"Mutilate","89823$7.11%89.8k","37","2.4k","37","2.4k","67.6%","-","-","556.6",""
"Global Thermal Sapper Charge","2514$0.20%2.5k","1","2.5k","1","2.5k","-","-","-","15.6",""
"Saronite Bomb","1621$0.13%1.6k","1","1.6k","1","1.6k","-","-","-","10.0",""
"Cobalt Frag Bomb","865$0.07%865.0","1","865.0","1","865.0","-","-","-","5.4",""
