"Name","Amount","Casts","Avg Cast","Hits","Avg Hit","Crit %","Uptime %","Miss %","DPS",""
"Instant Poison IX","396163$35.35%396.2k","-","-","286","1.4k","25.2%","-","-","2,371.3",""
"Melee","318902$28.45%318.9k","413","772.2","367","868.9","48.2%","-","11.14%","1,908.8",""
"Envenom","167555$14.95%167.6k","-","-","27","6.2k","37.0%","-","-","1,002.9",""
"Deadly Poison IX","86733$7.74%86.7k","-","-","54","1.6k","-","98.31%","-","519.1",""
"Mutilate","77548$6.92%77.5k","34","2.3k","34","2.3k","58.8%","-","-","464.2",""
"Mutilate","69129$6.17%69.1k","34","2.0k","34","2.0k","55.9%","-","-","413.8",""
"Garrote","4722$0.42%4.7k","1","4.7k","6","787.0","-","10.77%","-","28.3",""
